18		
2 255 255 0 0 0	70	0
2 255 255 0 0 0	69.73362887	6.100901992
2 255 255 0 0 0	68.93654271	12.15537244
2 255 255 0 0 0	67.61480784	18.11733316
2 255 255 0 0 0	65.77848346	23.94141003
2 255 255 0 0 0	63.44154509	29.58327832
2 255 255 0 0 0	60.62177826	35
2 255 255 0 0 0	57.3406431	40.15035054
2 255 255 0 0 0	53.62311102	44.99513268
2 255 255 0 0 0	49.49747468	49.49747468
2 255 255 0 0 0	44.99513268	53.62311102
2 255 255 0 0 0	40.15035054	57.3406431
2 255 255 0 0 0	35	60.62177826
2 255 255 0 0 0	29.58327832	63.44154509
2 255 255 0 0 0	23.94141003	65.77848346
2 255 255 0 0 0	18.11733316	67.61480784
2 255 255 0 0 0	12.15537244	68.93654271
2 255 255 0 0 0	6.100901992	69.73362887
