18		
2 255 255 0 0 0	10	0
2 255 255 0 0 0	9.961946981	0.8715574275
2 255 255 0 0 0	9.84807753	1.736481777
2 255 255 0 0 0	9.659258263	2.588190451
2 255 255 0 0 0	9.396926208	3.420201433
2 255 255 0 0 0	9.06307787	4.226182617
2 255 255 0 0 0	8.660254038	5
2 255 255 0 0 0	8.191520443	5.735764364
2 255 255 0 0 0	7.660444431	6.427876097
2 255 255 0 0 0	7.071067812	7.071067812
2 255 255 0 0 0	6.427876097	7.660444431
2 255 255 0 0 0	5.735764364	8.191520443
2 255 255 0 0 0	5	8.660254038
2 255 255 0 0 0	4.226182617	9.06307787
2 255 255 0 0 0	3.420201433	9.396926208
2 255 255 0 0 0	2.588190451	9.659258263
2 255 255 0 0 0	1.736481777	9.84807753
2 255 255 0 0 0	0.8715574275	9.961946981
