18		
2 255 255 0 0 0	40	0
2 255 255 0 0 0	39.84778792	3.48622971
2 255 255 0 0 0	39.39231012	6.945927107
2 255 255 0 0 0	38.63703305	10.3527618
2 255 255 0 0 0	37.58770483	13.68080573
2 255 255 0 0 0	36.25231148	16.90473047
2 255 255 0 0 0	34.64101615	20
2 255 255 0 0 0	32.76608177	22.94305745
2 255 255 0 0 0	30.64177772	25.71150439
2 255 255 0 0 0	28.28427125	28.28427125
2 255 255 0 0 0	25.71150439	30.64177772
2 255 255 0 0 0	22.94305745	32.76608177
2 255 255 0 0 0	20	34.64101615
2 255 255 0 0 0	16.90473047	36.25231148
2 255 255 0 0 0	13.68080573	37.58770483
2 255 255 0 0 0	10.3527618	38.63703305
2 255 255 0 0 0	6.945927107	39.39231012
2 255 255 0 0 0	3.48622971	39.84778792
