18		
2 255 255 0 0 0	20	0
2 255 255 0 0 0	19.92389396	1.743114855
2 255 255 0 0 0	19.69615506	3.472963553
2 255 255 0 0 0	19.31851653	5.176380902
2 255 255 0 0 0	18.79385242	6.840402867
2 255 255 0 0 0	18.12615574	8.452365235
2 255 255 0 0 0	17.32050808	10
2 255 255 0 0 0	16.38304089	11.47152873
2 255 255 0 0 0	15.32088886	12.85575219
2 255 255 0 0 0	14.14213562	14.14213562
2 255 255 0 0 0	12.85575219	15.32088886
2 255 255 0 0 0	11.47152873	16.38304089
2 255 255 0 0 0	10	17.32050808
2 255 255 0 0 0	8.452365235	18.12615574
2 255 255 0 0 0	6.840402867	18.79385242
2 255 255 0 0 0	5.176380902	19.31851653
2 255 255 0 0 0	3.472963553	19.69615506
2 255 255 0 0 0	1.743114855	19.92389396
